id,game,abbr,genre,players,viewers,cost
1,ARK,ARK,Survival,106478,45521,49.99
2,Counter Strike: Global Offensive,CSGO,FPS,850485,1299275,15
4,Dota 2,D2,MOBA,1291328,784769,0
5,Monster Hunter: World,MH:W,RPG,334684,11072,40
6,Playerunknown's battleground,PubG,Shooter,3257248,597309,30
8,Tom Clancy's Rainbow Six Siege,R6,FPS,178953,253734,10
9,Rocket League,RL,Sport,103129,185709,20
10,Rust,R,Survival,71081,58733,35
11,Team Fortress 2,TF2,Team Shooter,120436,82315,0
12,Warframe,W,RPG,132201,407244,0
